edge,machineType,sensorId,min10,max90,median,avg,std
c17,H,c17snch,5.75,6.12,5.91,5.8717,0.5935
c17,L,c17sncl,1.89,2.03,1.98,1.9682,0.0543
c17,V,c17sncv,0.91,0.97,0.94,0.9427,0.0483
c18,AC,c18sncac,10.19,10.85,10.51,10.5136,0.2512
c18,AF,c18sncaf,3.25,3.41,3.33,3.3283,0.0639
c18,AP,c18sncap,2.02,2.13,2.07,2.0711,0.0428
c18,H,c18snch,7.61,8.06,7.81,7.7795,0.6288
c18,L,c18sncl,2.14,2.3,2.22,2.2387,0.453
c18,V,c18sncv,0.89,0.94,0.91,0.9136,0.035
c19,AC,c19sncac,10.75,11.32,11.03,11.0394,0.2261
c19,AF,c19sncaf,3.17,3.32,3.24,3.2642,0.4548
c19,AP,c19sncap,2.19,2.29,2.24,2.2434,0.1046
c19,H,c19snch,7.0,7.37,7.19,7.0775,0.636
c19,L,c19sncl,2.26,2.4,2.32,2.3263,0.0549
c19,V,c19sncv,0.92,1.0,0.95,0.9586,0.0425
c20,AC,c20sncac,9.303,9.887,9.6,9.6204,0.6312
c20,AF,c20sncaf,2.69,2.82,2.76,2.7774,0.3636
c20,AP,c20sncap,2.05,2.18,2.12,2.1286,0.2259
c20,H,c20snch,7.18,7.59,7.36,7.2935,0.7859
c20,L,c20sncl,2.03,2.22,2.13,2.6378,1.9916
c20,V,c20sncv,0.88,0.94,0.91,0.9108,0.0793
c21,AC,c21sncac,9.88,10.387,10.105,10.1227,0.212
c21,AF,c21sncaf,3.67,3.77,3.71,3.7749,0.765
c21,AP,c21sncap,2.23,2.38,2.29,2.2879,0.0628
c21,L,c21sncl,2.645,3.009,2.745,2.7848,0.151
d01,AC,d01sncac,9.08,9.57,9.32,9.3223,0.2176
d01,AF,d01sncaf,3.12,3.28,3.21,3.2116,0.3629
d01,AP,d01sncap,2.32,2.46,2.4,2.3966,0.0766
d01,H,d01snch,5.742,8.19,7.86,7.2881,1.1075
d01,L,d01sncl,2.02,2.16,2.1,2.1018,0.2594
d01,V,d01sncv,0.45,0.5,0.47,0.4758,0.0332
d02,AC,d02sncac,9.44,9.92,9.71,9.6938,0.1816
d02,AF,d02sncaf,2.72,2.82,2.77,2.7674,0.0381
d02,AP,d02sncap,2.28,2.43,2.37,2.3595,0.0572
d02,H,d02snch,8.0,8.6,8.26,8.267,0.421
d02,L,d02sncl,1.62,1.73,1.685,1.6712,0.1252
d02,V,d02sncv,0.27,0.29,0.28,0.2825,0.011
d03,AC,d03sncac,9.71,10.199,9.94,9.9426,0.1931
d03,AF,d03sncaf,2.77,2.86,2.81,2.8118,0.0352
d03,AP,d03sncap,2.35,2.5,2.44,2.4302,0.0549
d03,H,d03snch,6.72,7.12,6.91,6.8336,0.7412
d03,L,d03sncl,2.43,2.62,2.52,2.5333,0.2601
d03,V,d03sncv,0.28,0.32,0.29,0.2983,0.0202
d04,AC,d04sncac,8.95,9.26,9.09,9.0775,0.4396
d04,AF,d04sncaf,3.3,3.42,3.35,3.3531,0.0471
d04,AP,d04sncap,2.56,2.66,2.61,2.6085,0.0408
d04,H,d04snch,5.37,7.95,7.66,7.023,2.0444
d04,L,d04sncl,2.0,2.18,2.07,2.081,0.0655
d04,V,d04sncv,0.26,0.4,0.31,0.3235,0.0638
d05,AC,d05sncac,9.239,9.75,9.47,9.492,0.4094
d05,AF,d05sncaf,3.17,3.37,3.26,3.2687,0.1412
d05,AP,d05sncap,2.24,2.46,2.36,2.3561,0.1316
d05,H,d05snch,6.39,7.68,7.41,7.1186,0.9348
d05,L,d05sncl,3.63,3.9,3.74,3.7543,0.3132
d05,V,d05sncv,0.45,0.49,0.46,0.4646,0.0299
d06,AC,d06sncac,9.33,9.82,9.56,9.5615,0.1927
d06,AF,d06sncaf,3.14,3.249,3.18,3.1843,0.042
d06,AP,d06sncap,2.51,2.6,2.55,2.552,0.0335
d06,H,d06snch,7.59,8.242,7.98,7.7613,1.1924
d06,L,d06sncl,1.54,1.63,1.59,1.5872,0.0338
d06,V,d06sncv,0.23,0.33,0.31,0.3013,0.0581
d07,AC,d07sncac,9.46,10.04,9.82,9.7924,0.2217
d07,AF,d07sncaf,1.36,1.41,1.38,1.3841,0.022
d07,AP,d07sncap,2.37,2.53,2.46,2.4536,0.0631
d07,H,d07snch,7.16,7.72,7.4,7.36,0.7334
d07,L,d07sncl,0.93,4.911,4.6,3.4156,1.9171
d07,V,d07sncv,0.27,0.31,0.28,0.2859,0.0219
d08,AC,d08sncac,9.49,10.0,9.74,9.7442,0.2086
d08,AF,d08sncaf,3.61,3.8,3.71,3.7077,0.0734
d08,AP,d08sncap,2.44,2.55,2.5,2.4933,0.0425
d08,H,d08snch,7.25,7.75,7.5,7.3535,1.0478
d08,L,d08sncl,1.72,1.84,1.79,1.7857,0.065
d08,V,d08sncv,0.28,0.31,0.28,0.2861,0.0231
d09,AC,d09sncac,9.54,10.05,9.77,9.7944,0.4429
d09,AF,d09sncaf,3.46,3.62,3.53,3.5437,0.3947
d09,AP,d09sncap,2.5,2.61,2.57,2.5691,0.1732
d09,H,d09snch,2.15,7.89,7.57,6.8832,2.0923
d09,L,d09sncl,1.77,2.638,2.17,2.1837,0.4146
d09,V,d09sncv,0.27,0.39,0.28,0.303,0.045
d10,AC,d10sncac,9.24,9.83,9.51,9.534,0.5119
d10,AF,d10sncaf,3.007,3.15,3.07,3.0732,0.0842
d10,AP,d10sncap,2.38,2.54,2.46,2.4622,0.106
d10,H,d10snch,1.295,7.35,7.02,6.347,2.0317
d10,L,d10sncl,1.7,1.85,1.77,1.7517,0.2021
d10,V,d10sncv,0.27,0.378,0.28,0.2993,0.038
d11,AC,d11sncac,9.55,9.98,9.73,9.7503,0.1719
d11,AF,d11sncaf,3.36,3.53,3.46,3.46,0.313
d11,AP,d11sncap,2.44,2.53,2.49,2.4916,0.0635
d11,H,d11snch,0.31,4.33,4.19,3.5341,1.4877
d11,L,d11sncl,2.613,5.5,3.13,3.9738,1.5056
d11,V,d11sncv,0.3,0.39,0.32,0.3383,0.0399
d12,AC,d12sncac,8.91,9.5,9.19,9.1934,0.2268
d12,AF,d12sncaf,3.37,3.58,3.49,3.4895,0.308
d12,AP,d12sncap,2.38,2.5,2.45,2.4444,0.0677
d12,H,d12snch,5.225,6.92,6.65,6.2193,1.7694
d12,L,d12sncl,5.08,5.78,5.465,5.334,0.9115
