edge,machineType,sensorId,min10,max90,median,avg,std
f14,H,f14snch,7.57,8.054,7.81,7.3802,1.7909
f14,V,f14sncv,0.31,0.32,0.32,0.3162,0.0059
f15,AC,f15sncac,9.74,10.08,9.91,9.9371,0.1662
f15,AF,f15sncaf,3.73,3.88,3.8,3.8029,0.0608
f15,AP,f15sncap,2.63,2.68,2.66,2.6541,0.0235
f15,H,f15snch,7.23,7.523,7.38,7.3733,0.1128
f15,L,f15sncl,2.48,2.48,2.48,2.48,0.0
f15,V,f15sncv,0.31,0.41,0.32,0.3423,0.0458
f16,AC,f16sncac,9.307,9.583,9.42,9.4308,0.1117
f16,AF,f16sncaf,3.852,4.036,3.94,3.943,0.0672
f16,AP,f16sncap,2.54,2.59,2.56,2.5676,0.0222
f16,H,f16snch,7.215,8.35,8.0,7.5179,1.9084
f16,V,f16sncv,0.3,0.31,0.3,0.305,0.0071
f17,AC,f17sncac,9.46,9.85,9.66,9.6542,0.1659
f17,AF,f17sncaf,3.76,3.96,3.82,3.9089,0.6658
f17,H,f17snch,7.381,7.75,7.56,7.498,0.6858
f17,L,f17sncl,4.93,4.93,4.93,4.93,0.0
f17,V,f17sncv,0.75,0.78,0.76,0.7486,0.069
f18,AC,f18sncac,9.424,9.796,9.61,9.6141,0.1522
f18,AF,f18sncaf,2.78,2.86,2.81,2.8188,0.0357
f18,AP,f18sncap,2.614,2.67,2.64,2.6403,0.0209
f18,H,f18snch,8.064,8.626,8.37,8.2292,1.0531
f18,L,f18sncl,1.58,1.58,1.58,1.58,0.0
f18,V,f18sncv,0.692,1.05,0.8,0.8671,0.1559
f19,AC,f19sncac,9.45,9.776,9.61,9.6151,0.1403
f19,AF,f19sncaf,3.63,3.77,3.7,3.794,0.8742
f19,AP,f19sncap,2.57,2.61,2.59,2.588,0.0325
f19,H,f19snch,7.921,8.439,8.19,8.2032,0.2114
f19,L,f19sncl,4.41,4.41,4.41,4.41,0.0
f19,V,f19sncv,0.588,1.02,0.78,0.8038,0.1861
f20,AC,f20sncac,9.6,9.92,9.73,9.7332,0.211
f20,AF,f20sncaf,3.44,3.55,3.5,3.4941,0.0622
f20,AP,f20sncap,2.53,2.57,2.55,2.5459,0.0463
f20,H,f20snch,3.555,7.99,7.65,6.9708,2.1618
f20,L,f20sncl,0.576,8.648,1.84,4.15,4.4313
f20,V,f20sncv,0.706,1.05,0.78,0.8016,0.1451
f21,AC,f21sncac,9.58,9.9,9.72,9.7163,0.1818
f21,AF,f21sncaf,3.74,3.78,3.75,3.8229,0.5028
f21,AP,f21sncap,2.54,2.6,2.57,2.569,0.0247
f21,H,f21snch,10.4,11.03,10.695,10.4642,1.4631
f21,L,f21sncl,0.135,0.495,0.315,0.315,0.225
f21,V,f21sncv,0.56,0.575,0.5675,0.5675,0.0069
